,city name,country,city id,latitude_deg,longitude_deg,temp_max_F,humidity_%,cloudiness_%,winds speed_mph
0,Yellowknife,CA,6185377,62.46,-114.35,1.99,84,75,3.36
1,Cabo San Lucas,MX,3985710,22.89,-109.91,89.01,58,5,3.36
2,Ushuaia,AR,3833367,-54.8,-68.3,64.4,36,0,5.82
3,Hilo,US,5855927,19.73,-155.09,80.6,74,90,5.82
4,Marti,CU,3547519,22.95,-80.92,77.0,94,75,17.22
5,Rikitea,PF,4030556,-23.12,-134.97,73.44,75,0,15.28
6,Lebu,CL,3883457,-37.62,-73.65,55.45,63,0,10.74
7,Codrington,AU,2171099,-38.27,141.97,48.42,73,45,12.73
8,Ahipara,NZ,2194098,-35.17,173.17,62.13,93,100,14.54
9,Santa Maria,BR,3450083,-29.68,-53.81,73.4,33,20,12.75
10,Kapaa,US,5848280,22.08,-159.32,82.99,88,75,11.45
11,Aleksandrovka,UA,713676,46.84,32.76,50.0,93,0,13.42
12,Ilo,PE,3938415,-17.64,-71.34,69.31,60,0,10.27
13,Port Lincoln,AU,2063036,-34.73,135.87,54.12,62,90,11.54
14,Pocoes,BR,3453337,-14.53,-40.37,65.82,97,100,1.34
15,Carnarvon,AU,2074865,-24.87,113.63,69.8,94,0,14.99
16,Punta Arenas,CL,3874787,-53.15,-70.92,46.4,81,90,8.05
17,Bluff,NZ,2206939,-46.6,168.33,60.01,89,68,8.99
18,Vardo,NO,777019,70.37,31.11,39.2,80,75,34.45
19,Yumen,CN,1528998,40.28,97.2,35.67,65,0,15.97
20,Chumikan,RU,2025256,54.72,135.31,13.35,90,0,27.09
21,Fort Abbas,PK,1179223,29.19,72.85,72.23,19,0,6.93
22,Nizhnevartovsk,RU,1497543,60.93,76.55,35.6,98,90,13.42
23,Pacific Grove,US,5380437,36.62,-121.92,66.99,59,1,3.36
24,Pangnirtung,CA,6096551,66.15,-65.71,8.6,55,20,13.87
25,Atuona,PF,4020109,-9.8,-139.03,79.0,77,8,21.05
26,Puerto Ayora,EC,3652764,-0.74,-90.35,80.6,65,40,14.99
27,Constantine,DZ,2501152,36.37,6.61,60.8,51,0,5.82
28,Port Alfred,ZA,964432,-33.59,26.89,68.29,85,100,11.92
29,Bathsheba,BB,3374083,13.22,-59.52,86.0,66,20,17.22
30,Hovd,MN,1516048,48.01,91.64,22.82,91,2,2.21
31,Yangjiang,CN,1806408,21.85,111.97,66.76,78,93,5.55
32,Leningradskiy,RU,2123814,69.38,178.42,4.87,80,57,7.99
33,Torbay,CA,6167817,47.67,-52.73,30.0,58,75,18.34
34,Cape Town,ZA,3369157,-33.93,18.42,70.0,68,20,17.22
35,Galesong,ID,1644605,-5.32,119.37,79.99,75,15,5.57
36,Mhlume,SZ,934966,-26.03,31.85,75.2,50,70,6.93
37,Ust-Uda,RU,2013865,54.17,103.03,20.07,95,57,4.72
38,Qaanaaq,GL,3831208,77.48,-69.36,-0.81,87,99,1.36
39,Lagoa,PT,3372964,39.05,-27.98,61.0,72,28,19.17
40,Los Llanos De Aridane,ES,2514651,28.66,-17.92,64.4,88,75,11.41
